year	fips	prescription_rate_per_100
2006	21205	174.7
2006	21207	249
2006	21209	100.2
2006	21211	71.9
2006	21213	146
2006	21215	29.9
2006	21217	124.7
2006	21219	
2006	21221	70
2006	21223	33.7
2006	21225	128.8
2006	21227	110.1
2006	21229	60.5
2006	21231	218.8
2006	21233	70.5
2006	21235	301.6
2006	21237	
2006	21239	86.2
2006	22001	87.5
2006	22003	115.7
2006	22005	118.8
2006	22007	34.8
2006	22009	111
2006	22011	87
2006	22013	
2006	22015	109.8
2006	22017	118.8
2006	22019	120.9
2006	22021	
2006	22023	
2006	22025	113.2
2006	22027	54.6
2006	22029	105.7
2006	22031	31.7
2006	22033	121.7
2006	22035	83.1
2006	22037	64.9
2006	22039	187.4
2006	22041	87.7
2006	22043	19.9
2006	22045	111.2
2006	22047	81.8
2006	22049	41.8
2006	22051	149.7
2006	22053	102.4
2006	22055	137.8
2006	22057	95.5
2006	22059	102.9
2006	22061	74.1
2006	22063	96.2
2006	22065	79.8
2006	22067	87.3
2006	22069	72.9
2006	22071	52.9
2006	22073	124
2006	22075	
2006	22077	75.7
2006	22079	146.5
2006	22081	86.3
2006	22083	44.1
2006	22085	23.3
2006	22087	106.9
2006	22089	72.6
2006	22091	61.2
2006	22093	33.9
2006	22095	84.6
2006	22097	137.7
2006	22099	78.7
2006	22101	115.4
2006	22103	157.4
2006	22105	137.1
2006	22107	
2006	22109	111.3
2006	22111	56.2
2006	22113	96.4
2006	22115	13.6
2006	22117	126.2
2006	22119	74.3
2006	22121	61.6
2006	22123	54.4
2006	22125	29.1
2006	22127	66.1
2006	25001	87.8
2006	25003	99.5
2006	25005	87.5
2006	25007	46.1
2006	25009	63.5
2006	25011	56.6
2006	25013	79.8
2006	25015	58.5
2006	25017	53.1
2006	25019	50.8
2006	25021	58.8
2006	25023	68.7
2006	25025	57.3
2006	25027	72.6
2006	24001	109.8
2006	24003	78
2006	24005	70.9
2006	24009	76.8
2006	24011	56.8
2006	24013	64.2
2006	24015	88.6
2006	24017	81
2006	24019	69
2006	24021	68.3
2006	24023	70.6
2006	24025	71.6
2006	24027	34.3
2006	24029	127.7
2006	24031	38.9
2006	24033	40.5
2006	24035	74.9
2006	24037	66.9
2006	24039	51.1
2006	24041	72.7
2006	24043	89.7
2006	24045	80.5
2006	24047	102.2
2006	24510	56.5
2006	23001	92.7
2006	23003	89.1
2006	23005	79.4
2006	23007	87.4
2006	23009	80.9
2006	23011	101.6
2006	23013	74.5
2006	23015	66.1
2006	23017	91.8
2006	23019	104.5
2006	23021	116.7
2006	23023	70.5
2006	23025	76.5
2006	23027	71
2006	23029	67.8
2006	23031	64.4
2006	26001	33.5
2006	26003	86.8
2006	26005	43.1
2006	26007	109.2
2006	26009	41.7
2006	26011	84.6
2006	26013	102.5
2006	26015	27.9
2006	26017	91.6
2006	26019	66.6
2006	26021	90.1
2006	26023	72.1
2006	26025	105.2
2006	26027	37.2
2006	26029	88.4
2006	26031	103.6
2006	26033	71.8
2006	26035	135.9
2006	26037	34
2006	26039	123.3
2006	26041	75.4
2006	26043	88.5
2006	26045	81.3
2006	26047	118.3
2006	26049	110.9
2006	26051	134.3
2006	26053	76.3
2006	26055	136.9
2006	26057	68.4
2006	26059	57.1
2006	26061	38.9
2006	26063	61.3
2006	26065	69.5
2006	26067	61
2006	26069	115.6
2006	26071	96.6
2006	26073	58.3
2006	26075	94.2
2006	26077	83.6
2006	26079	124.1
2006	26081	72.8
2006	26083	
2006	26085	
2006	26087	60.9
2006	26089	
2006	26091	66.9
2006	26093	58
2006	26095	240.6
2006	26097	70.4
2006	26099	90.9
2006	26101	90.8
2006	26103	78.5
2006	26105	127.8
2006	26107	86.3
2006	26109	64
2006	26111	74.8
2006	26113	10.7
2006	26115	78.7
2006	26117	88.2
2006	26119	58.1
2006	26121	120.3
2006	26123	87.8
2006	26125	72.7
2006	26127	60.8
2006	26129	131.4
2006	26131	56.4
2006	26133	79.5
2006	26135	107.5
2006	26137	114.1
2006	26139	56
2006	26141	73
2006	26143	111.5
2006	26145	84.1
2006	26147	85.7
2006	26149	93.8
2006	26151	41.8
2006	26153	114.1
2006	26155	97
2006	26157	60.9
2006	26159	75.9
2006	26161	55.2
2006	26163	82.3
2006	26165	137.9
2006	27001	84.5
2006	27003	53.4
2006	27005	46.3
2006	27007	61.1
2006	27009	48.3
2006	27011	96.1
2006	27013	67.7
2006	27015	67.3
2006	27017	70
2006	27019	38.6
2006	27021	38.7
2006	27023	18.4
2006	27025	30.1
2006	27027	51.3
2006	27029	65.1
2006	27031	74.4
2006	27033	74.5
2006	27035	66
2006	27037	52
2006	27039	6.8
2006	27041	78.6
2006	27043	43.7
2006	27045	11.5
2006	27047	48.9
2006	27049	64
2006	27051	22.9
2006	27053	46.8
2006	27055	3.8
2006	27057	59.9
2006	27059	43.1
2006	27061	72.3
2006	27063	28.5
2006	27065	83.2
2006	27067	61.4
2006	27069	22.7
2006	27071	91.1
2006	27073	46.4
2006	27075	
2006	27077	
2006	27079	21.9
2006	27081	23.1
2006	27083	57.2
2006	27085	69.5
2006	27087	89.2
2006	27089	18.1
2006	27091	74
2006	27093	39.1
2006	27095	69.2
2006	27097	49.7
2006	27099	48.4
2006	27101	32.5
2006	27103	22.9
2006	27105	36.4
2006	27107	53.3
2006	27109	29
2006	27111	55.1
2006	27113	83.8
2006	27115	25
2006	27117	65.9
2006	27119	39.9
2006	27121	81.5
2006	27123	46.7
2006	27125	34.6
2006	27127	43
2006	27129	28.6
2006	27131	47.6
2006	27133	66.9
2006	27135	54.1
2006	27137	82.9
2006	27139	42.5
2006	27141	37.3
2006	27143	15.7
2006	27145	53.5
2006	27147	40.3
2006	27149	66.4
2006	27151	54
2006	27153	31.3
2006	27155	73.2
2006	27157	9.7
2006	27159	127.6
2006	27161	41.2
2006	27163	57
2006	27165	43.9
2006	27167	83.6
2006	27169	55.3
2006	27171	52.2
2006	27173	59.2
2006	29001	95.5
2006	29003	
2006	29005	69.2
2006	29007	73.5
2006	29009	119.2
2006	29011	44
2006	29013	30
2006	29015	85.5
2006	29017	
2006	29019	53.5
2006	29021	124.7
2006	29023	215.5
2006	29025	
2006	29027	54.6
2006	29029	112.1
2006	29031	118.2
2006	29033	103.9
2006	29035	
2006	29037	101.5
2006	29039	
2006	29041	
2006	29043	102.1
2006	29045	68.4
2006	29047	93.9
2006	29049	21.6
2006	29051	122.5
2006	29053	16.4
2006	29055	60.3
2006	29057	131.5
2006	29059	22.7
2006	29061	33.8
2006	29063	
2006	29065	98
2006	29067	32.4
2006	29069	147.5
2006	29071	79.7
2006	29073	24.7
2006	29075	40.7
2006	29077	137
2006	29079	102.4
2006	29081	78.9
2006	29083	159.3
2006	29085	
2006	29087	
2006	29089	32.7
2006	29091	130.7
2006	29093	37.5
2006	29095	79.5
2006	29097	152.1
2006	29099	79
2006	29101	46.8
2006	29103	
2006	29105	140.3
2006	29107	16
2006	29109	72.5
2006	29111	45.9
2006	29113	61.2
2006	29115	58.9
2006	29117	118.4
2006	29119	2.6
2006	29121	79.4
2006	29123	99.1
2006	29125	
2006	29127	147.9
2006	29129	35.6
2006	29131	56.8
2006	29133	45.2
2006	29135	29.9
2006	29137	
2006	29139	65
2006	29141	25.7
