GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US05129,05129,United States - Arkansas - Searcy County,Searcy County,36716,4199
0100000US,,United States,0500000US05131,05131,United States - Arkansas - Sebastian County,Sebastian County,40932,1755
0100000US,,United States,0500000US05133,05133,United States - Arkansas - Sevier County,Sevier County,43675,2792
0100000US,,United States,0500000US05135,05135,United States - Arkansas - Sharp County,Sharp County,31792,1931
0100000US,,United States,0500000US05137,05137,United States - Arkansas - Stone County,Stone County,33091,4191
0100000US,,United States,0500000US05139,05139,United States - Arkansas - Union County,Union County,41106,2148
0100000US,,United States,0500000US05141,05141,United States - Arkansas - Van Buren County,Van Buren County,34428,2409
0100000US,,United States,0500000US05143,05143,United States - Arkansas - Washington County,Washington County,47452,1026
0100000US,,United States,0500000US05145,05145,United States - Arkansas - White County,White County,44074,3056
0100000US,,United States,0500000US05147,05147,United States - Arkansas - Woodruff County,Woodruff County,30097,3976
0100000US,,United States,0500000US05149,05149,United States - Arkansas - Yell County,Yell County,39696,2480
0100000US,,United States,0400000US06,06,United States - California,California,67169,192
0100000US,,United States,0500000US06001,06001,United States - California - Alameda County,Alameda County,85743,940
0100000US,,United States,0500000US06003,06003,United States - California - Alpine County,Alpine County,63438,4535
0100000US,,United States,0500000US06005,06005,United States - California - Amador County,Amador County,60636,2765
0100000US,,United States,0500000US06007,06007,United States - California - Butte County,Butte County,46516,1130
0100000US,,United States,0500000US06009,06009,United States - California - Calaveras County,Calaveras County,54800,3529
0100000US,,United States,0500000US06011,06011,United States - California - Colusa County,Colusa County,56481,4858
0100000US,,United States,0500000US06013,06013,United States - California - Contra Costa County,Contra Costa County,88456,822
0100000US,,United States,0500000US06015,06015,United States - California - Del Norte County,Del Norte County,41287,4114
0100000US,,United States,0500000US06017,06017,United States - California - El Dorado County,El Dorado County,74885,2565
0100000US,,United States,0500000US06019,06019,United States - California - Fresno County,Fresno County,48730,655
0100000US,,United States,0500000US06021,06021,United States - California - Glenn County,Glenn County,46260,3402
0100000US,,United States,0500000US06023,06023,United States - California - Humboldt County,Humboldt County,43718,1579
0100000US,,United States,0500000US06025,06025,United States - California - Imperial County,Imperial County,44779,1850
0100000US,,United States,0500000US06027,06027,United States - California - Inyo County,Inyo County,51500,4578
0100000US,,United States,0500000US06029,06029,United States - California - Kern County,Kern County,50826,771
0100000US,,United States,0500000US06031,06031,United States - California - Kings County,Kings County,49742,1744
0100000US,,United States,0500000US06033,06033,United States - California - Lake County,Lake County,40446,2857
0100000US,,United States,0500000US06035,06035,United States - California - Lassen County,Lassen County,54083,2927
0100000US,,United States,0500000US06037,06037,United States - California - Los Angeles County,Los Angeles County,61015,262
0100000US,,United States,0500000US06039,06039,United States - California - Madera County,Madera County,48210,2108
0100000US,,United States,0500000US06041,06041,United States - California - Marin County,Marin County,104703,1763
0100000US,,United States,0500000US06043,06043,United States - California - Mariposa County,Mariposa County,51385,3637
0100000US,,United States,0500000US06045,06045,United States - California - Mendocino County,Mendocino County,46528,1787
0100000US,,United States,0500000US06047,06047,United States - California - Merced County,Merced County,46338,1301
0100000US,,United States,0500000US06049,06049,United States - California - Modoc County,Modoc County,39296,4907
0100000US,,United States,0500000US06051,06051,United States - California - Mono County,Mono County,60595,6356
0100000US,,United States,0500000US06053,06053,United States - California - Monterey County,Monterey County,63249,1209
0100000US,,United States,0500000US06055,06055,United States - California - Napa County,Napa County,79637,1895
