fips	population_2000	population_2010	population_2017	tot_male_2000	tot_male_2010	tot_male_2017	tot_female_2000	tot_female_2010	tot_female_2017	wa_2000	wa_2010	wa_2017	ba_2000	ba_2010	ba_2017	ia_2000	ia_2010	ia_2017	aa_2000	aa_2010	aa_2017	h_2000	h_2010	h_2017	age_grp_4_2000	age_grp_4_2010	age_grp_4_2017	age_grp_5_2000	age_grp_5_2010	age_grp_5_2017	age_grp_6_2000	age_grp_6_2010	age_grp_6_2017	age_grp_7_2000	age_grp_7_2010	age_grp_7_2017	age_grp_8_2000	age_grp_8_2010	age_grp_8_2017	pct_hs_diploma_2000	pct_hs_diploma_2010	pct_hs_diploma_2017	pct_bachelors_2000	pct_bachelors_2010	pct_bachelors_2017	pov_pct_2000	pov_pct_2010	pov_pct_2017	median_hh_inc_2000	median_hh_inc_2010	median_hh_inc_2017	unemploy_rate_2000	unemploy_rate_2010	unemploy_rate_2017	deaths_2000	deaths_2010	deaths_2017	deaths_age_adj_2000	deaths_age_adj_2010	deaths_age_adj_2017	md_per_100k_2000	md_per_100k_2010	md_per_100k_2017
20209	157829	157639	165313	77080	77742	81946	80749	79897	83367	105545	105709	110620	45221	40735	38367	1320	2198	2259	2763	4214	8477	25513	41698	47735	12048	11077	10572	11825	10785	10442	11934	12459	12861	11052	11450	12037	11799	10260	11475	34.3	78.9	33.1	12	15.3	16.7	16.5	20.2	21.4	33784	37998	42783	6	10.7	5.2	20	27	31	2.3	3.1	3.4	2.1119904031156085	2.8546235385913383	3.1253843718683147
21001	17284	18761	19294	8374	9262	9578	8910	9499	9716	16655	17919	18317	453	541	554	40	39	58	47	44	79	130	325	371	1359	1638	1531	1234	1484	1486	1108	1038	1205	1126	979	980	1280	1112	1061	31.1	69.6	37.5	10.9	12.5	15.8	24.0	21.2	21.5	24055	29247	36575	5	10.8	6.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21003	17819	20048	20921	8727	9857	10343	9092	10191	10578	17496	19563	20267	195	171	246	29	57	64	20	33	54	147	300	429	1306	1398	1337	1077	1154	1139	1170	1139	1413	1217	1156	1152	1328	1351	1201	39.2	73.0	39	9.1	9.5	14.4	17.3	17.8	20.0	31238	33929	40598	4.4	14.4	4.1	0.0	0.0	19	0.0	0.0	Unreliable	0.0	0.0	15.136306422573808
21005	19186	21457	22518	9375	10492	11048	9811	10965	11470	18577	20637	21492	463	427	465	14	33	57	22	108	122	153	288	408	1129	1475	1410	1038	1080	1253	1339	1225	1369	1535	1406	1294	1736	1621	1360	43	85.7	37.4	12	17.3	20	7.5	9.2	12.0	45433	51164	51681	3.4	10.4	4.1	0.0	17	31	0.0	Unreliable	24.3	0.0	13.204703981606624	22.94460727714125
21007	8307	8260	8021	4105	4099	4002	4202	4161	4019	7956	7847	7502	243	244	267	0	14	24	15	16	36	55	90	111	519	531	524	446	411	431	504	413	428	542	472	414	600	533	447	40.4	82.1	36.6	10.6	13.0	14.1	13.6	13.9	18.2	32130	41276	42988	5.9	10	7.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21009	38123	42123	43815	18348	20430	21184	19775	21693	22631	36105	39455	40656	1582	1649	1815	66	129	153	162	201	398	346	1121	1393	2580	2791	2665	2139	2259	2466	2380	2574	2735	2613	2440	2580	2911	2718	2651	40.4	76.5	40.5	11.1	15.4	16.2	15.6	20.0	22.9	31240	36919	39658	4.6	12.3	4.6	0.0	10	23	0.0	Unreliable	9.0	0.0	3.956666587533335	8.748906386701663
21011	11131	11616	12378	5506	5763	6156	5625	5853	6222	10840	11285	11952	211	156	173	36	29	30	0	17	42	91	162	202	715	754	806	687	585	708	699	618	726	788	691	607	844	776	741	34.5	69.3	40.3	10.1	13.5	11.7	21.9	26.4	24.0	26018	29054	38763	6.1	15.4	7.9	0.0	23	12	0.0	36.1	Unreliable	0.0	33.000459136822776	16.157699143641945
21013	30036	28709	26904	14365	13955	13156	15671	14754	13748	28903	27480	25587	744	660	668	81	47	64	105	81	99	202	202	298	2147	1961	1548	1889	1805	1614	1984	1626	1824	2048	1709	1530	2330	1829	1502	33.2	63.1	35.9	9	11.4	9.3	31.1	32.8	38.0	19057	22559	23558	6.5	12	7.9	45	75	75	26.0	43.2	44.9	24.970035956851778	43.54035319934515	46.461492714837945
21015	87006	119379	130611	43010	59090	64569	43996	60289	66042	83513	111368	119542	1365	3098	4483	216	309	281	1157	2623	3497	1721	4277	5494	6109	7994	9039	5183	6308	7444	6112	7489	7909	7308	8275	8255	7898	9077	9000	32.8	90.3	27	22.8	26.3	31.5	5.6	6.6	7.6	53593	65964	72731	2.9	9	3.9	21	72	183	3.5	10.1	24.1	4.022711077396961	10.052019199356671	23.351785071701464
21017	19372	19967	20132	9429	9728	9815	9943	10239	10317	17807	18306	18352	1366	1228	1207	32	63	76	26	69	93	511	1378	1356	1294	1332	1205	1090	1040	1173	1152	1049	1176	1296	1119	1073	1565	1325	1136	38.7	82.1	36.6	13.5	16.9	19	14.0	19.6	16.6	35038	38301	47886	3.3	9.6	4.6	0.0	13	20	0.0	Unreliable	18.6	0.0	10.851237875828451	16.557387906483875
21019	49654	49606	47759	24318	24650	23781	25336	24956	23978	47765	47191	45155	1280	1445	1487	77	123	143	155	227	275	555	720	888	3311	2963	2654	2876	2538	2442	3099	3022	2972	3310	3105	2791	3658	3228	3099	35.3	82.5	33.9	14.1	16.6	19.4	15.5	18.6	19.3	32749	39309	45543	5.8	8.4	7.2	21	76	96	7.2	26.4	32.9	7.0487775405808195	25.53454555228534	33.501538976946755
21021	27705	28668	29958	13738	14015	14882	13967	14653	15076	24517	25612	26514	2714	2200	2334	67	68	89	177	235	319	401	799	1001	1990	2213	2164	2159	2063	2510	1753	1524	1862	1916	1575	1673	2111	1756	1676	34.3	83.0	35.6	19.3	22.1	23	11.9	18.1	15.5	35241	39113	43076	4	11.3	5.1	0.0	13	24	0.0	Unreliable	15.4	0.0	7.5577880098600065	13.352026169971293
21023	8286	8515	8277	4105	4241	4150	4181	4274	4127	8189	8368	8078	53	36	55	22	20	26	8	5	7	38	103	151	577	583	516	487	470	429	535	454	510	576	497	497	662	552	473	40.6	72.4	44.1	9.5	9.5	14	10.8	19.1	21.4	34823	36967	40458	3.5	11.2	5.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21025	16061	13857	12931	7933	6916	6465	8128	6941	6466	15894	13632	12613	65	45	71	7	19	22	52	69	76	107	93	137	1318	1083	725	1134	801	780	1003	782	857	1091	866	717	1286	905	807	31.2	60.5	35.3	10	9.2	12.6	33.2	31.1	36.0	19155	19329	25861	6.7	10.2	8.8	15	19	0.0	Unreliable	Unreliable	0.0	15.565655936741175	22.85246926944264	0.0
21027	18686	20042	20151	9276	9999	10134	9410	10043	10017	17951	19272	19268	546	413	409	34	72	98	17	42	66	129	182	313	1340	1311	1312	1043	982	1026	1019	1047	1090	1156	1102	978	1406	1149	1201	44.2	77.1	44.7	7.4	8.0	9.9	15.8	19.6	17.7	30554	37694	44057	4.8	11.8	6	0.0	0.0	11	0.0	0.0	Unreliable	0.0	0.0	9.0979769407639
21029	61641	74499	80284	30656	36867	39839	30985	37632	40445	60578	72515	77260	245	504	976	213	268	303	173	388	468	384	1067	1566	4435	5262	5067	3651	4114	4665	4405	4462	5294	4844	4758	4987	5568	5359	5365	41.1	83.0	41.3	9.2	11.2	13.9	7.9	9.5	10.2	45106	52594	59917	3.2	10.8	4.2	1.0	20	97	1.0	4.6	21.5	0.2703828079795374	4.474332988809693	20.13684752462093
21031	13026	12734	12798	6481	6377	6420	6545	6357	6378	12840	12506	12486	68	50	69	36	54	52	22	23	43	135	324	413	994	769	749	859	758	607	843	804	783	886	778	758	1051	795	843	40.4	71.0	41.8	6.4	6.6	11.7	16.0	17.6	22.0	29405	33063	39362	4.1	14.3	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21033	13033	13010	12677	6269	6274	6129	6764	6736	6548	12305	12102	11682	635	676	708	22	20	37	26	34	41	82	135	209	840	840	738	605	663	662	807	689	764	767	655	662	879	854	668	41.2	79.0	46.3	10	12.1	16.5	15.9	15.7	17.5	28686	36929	46182	4.4	10	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
